Name,Price,Rate,Rating_pop
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 16GB, SSD 512GB, 스페이스 그레이","2,760,000",5.0,946
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 포함, NVMe 256GB, 8GB","1,599,000",4.5,253
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 16GB, SSD 1TB, 스페이스 그레이","2,372,960",5.0,566
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 512GB, 실버","1,841,600",5.0,566
"Apple 2020년 맥북 프로 터치바 13, 8세대 i5, 8GB, SSD 512GB, 스페이스 그레이","1,968,850",5.0,946
"Apple 2020 맥북 에어 13, 10세대 i5-1.1GHz quad-core, 16GB, SSD 512GB, 실버","1,832,000",5.0,1080
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 256GB, 실버","1,480,180",5.0,796
"Apple 2019년 맥북 프로 터치바 13, i5-2.4GHz quad-core, 16GB, SSD 256GB, 스페이스 그레이, Thunderbolt 포트 4개","2,510,000",5.0,1192
"Apple 2020 맥북 에어 13, 10세대 i3-1.1GHz dual-core, 16GB, SSD 256GB, 골드","1,558,200",5.0,1080
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 512GB, 실버","1,537,800",5.0,796
"Apple 2019년 맥북 프로 터치바 13, i5-2.4GHz quad-core, 16GB, SSD 256GB, 실버, Thunderbolt 포트 4개","2,304,000",5.0,1192
"삼성전자 갤럭시북 이온2 미스틱화이트 노트북 NT950XDZ-A38AW (i3-1115G4 39.6cm), 윈도우 미포함, 512GB, 8GB","1,359,000",5.0,275
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 512GB, 실버","1,537,800",5.0,796
"삼성전자 갤럭시북 이온2 미스틱화이트 노트북 NT950XDZ-A38AW (i3-1115G4 39.6cm), 윈도우 미포함, 512GB, 8GB","1,359,000",5.0,275
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 512GB, 골드","1,804,560",5.0,796
"Apple 2020 맥북 에어 13, 10세대 i5-1.1GHz quad-core, 16GB, SSD 512GB, 골드","1,940,000",5.0,1080
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 16GB, SSD 512GB, 실버","2,760,000",5.0,946
"Apple 2019년 맥북 프로 터치바 13, i5-2.4GHz quad-core, 16GB, SSD 512GB, 스페이스 그레이, Thunderbolt 포트 4개","2,760,000",5.0,1192
"Apple 2019년 맥북 프로 터치바 16, 9세대 i9, 32GB, SSD 1TB, 실버, AMD Radeon Pro 5600M 8GB","5,445,000",5.0,1679
"삼성전자 갤럭시북 이온 아우라 실버 NT950XCR-G58A (i5-10210U 39.6cm MX250) + UFS 카드 256GB, 포함, NVMe 256GB, 8GB","1,729,000",5.0,169
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 512GB, 실버","1,804,560",5.0,796
"LG전자 그램17 스노우 화이트 노트북 17ZD90P-GX50K (i5-1135G7 43.1cm), 미포함, 256GB, 8GB","1,799,000",5.0,593
"Apple 2019년 맥북 프로 터치바 16, 9세대 i9, 32GB, SSD 1TB, 스페이스 그레이, AMD Radeon Pro 5600M 8GB","5,445,000",5.0,1679
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 32GB, SSD 512GB, 실버","3,300,000",5.0,946
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 32GB, SSD 1TB, 실버","3,570,000",5.0,946
"Apple 2020 맥북 에어 13, 10세대 i3-1.1GHz dual-core, 16GB, SSD 256GB, 골드","1,558,200",5.0,1080
"Apple 2019년 맥북 프로 터치바 13, i5-1.4GHz quad-core, 16GB, SSD 256GB, 스페이스 그레이","2,210,000",5.0,1192
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 16GB, SSD 256GB, 실버","1,920,800",5.0,566
"Apple 2019년 맥북 프로 터치바 16, 9세대 i7, 32GB, SSD 1TB, 스페이스 그레이, AMD Radeon Pro 5500M 8GB","4,120,000",5.0,1679
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 512GB, 스페이스 그레이","1,517,700",5.0,796
